model,mean,std
MalConv,0.0010003902912139409,0.01106515926472939
AvastStyleConv,0.0011555802822112546,0.0011034565047621217
BBDnn,0.0009022660255431627,0.0011546918749840939
NGramConv,0.0006769609451293454,0.00039098596864892805
EmberGBDT,0.13054925060272216,0.1377652763202693
ResNet18,0.052240850925445524,0.05994503214940879
MalConvRsDel,0.9003187417984009,0.8221801059260286
AvastStyleConvRsDel,0.9016829817295074,0.820792326150636
BBDnnRsDel,0.9044758470058442,0.8170610713203312
NGramConvRsDel,0.8988874423503875,0.8191677120076559
MalConvRS,0.4730992453098297,0.22864717536465842
AvastStyleConvRS,0.25875455379486084,0.09750802776733679
BBDnnRS,0.07453365159034726,0.023448229892773616
NGramConvRS,0.47553531169891355,0.22842156582733372
MalConvFDRS,0.000861454010009715,0.00033656944881083967
AvastStyleConvFDRS,0.0009685971736907459,0.0005678324403471599
BBDnnFDRS,0.0008636865615844226,0.0005338944248535498
NGramConvFDRS,0.0007975826263427239,0.00024018430018045347
MalConvKDRS,0.000918111562728834,0.0002723553161639326
AvastStyleConvKDRS,0.0011833620071410645,0.0008614693987408539
BBDnnKDRS,0.0010538854598998529,0.0007799840536943678
NGramConvKDRS,0.0009673976898192882,0.00044137069159729225
MalConvRDRS,0.001618052721023512,0.00033431818566673053
AvastStyleConvRDRS,0.0018631491661071286,0.0008786608565640557
NGramConvRDRS,0.0015489566326140865,0.00047115849163336206
BBDnnRDRS,0.0017435872554778557,0.0007357118840428451
MalConvSDRS,0.0013390359878539537,0.00015676414335010847
AvastStyleConvSDRS,0.0014517097473144046,0.00017160430721552248
BBDnnSDRS,0.0014759278297423815,0.00016519322450849337
NGramConvSDRS,0.001274769067764232,0.00028532290841218615
