model,threshold@5%FPR,threshold@1%FPR,threshold@0.1%FPR
MalConvFDRS,0.6037735939025879,0.9200000166893004,inf
AvastStyleConvFDRS,0.5333333611488342,1.0,inf
BBDnnFDRS,0.3333333432674408,1.0,inf
NGramConvFDRS,0.8181818127632141,inf,inf
MalConvKDRS,0.699999988079071,1.0,inf
AvastStyleConvKDRS,0.699999988079071,0.8571428656578064,inf
BBDnnKDRS,0.4285714328289032,0.8571428656578064,inf
NGramConvKDRS,0.7777777910232544,inf,inf
MalConvRDRS,0.6600000262260437,0.8999999761581421,inf
AvastStyleConvRDRS,0.6000000238418579,0.8399999737739563,1.0
NGramConvRDRS,0.75,1.0,inf
BBDnnRDRS,0.3600000143051147,0.9100000262260436,inf
MalConvSDRS,0.6499999761581421,0.8899999856948853,1.0
AvastStyleConvSDRS,0.6000000238418579,0.8399999737739563,0.9900000095367432
BBDnnSDRS,0.3499999940395355,0.9100000262260436,inf
NGramConvSDRS,0.7400000095367432,1.0,inf
