Model,mean ± std
MalConv,0.0010 ± 0.0111
AvastStyleConv,0.0012 ± 0.0011
BBDnn,0.0009 ± 0.0012
NGramConv,0.0007 ± 0.0004
EmberGBDT,(0.1305 ± 0.1378)
ResNet18,0.0522 ± 0.0599
MalConvRsDel,0.9003 ± 0.8222
AvastStyleConvRsDel,0.9017 ± 0.8208
BBDnnRsDel,0.9045 ± 0.8171
NGramConvRsDel,0.8989 ± 0.8192
MalConvRS,0.8953 ± 0.8207
AvastStyleConvRS,0.8956 ± 0.8210
BBDnnRS,0.8956 ± 0.8161
NGramConvRS,0.9044 ± 0.8345
MalConvFDRS,0.0009 ± 0.0003
AvastStyleConvFDRS,0.0010 ± 0.0006
BBDnnFDRS,0.0009 ± 0.0005
NGramConvFDRS,0.0008 ± 0.0002
MalConvKDRS,0.0009 ± 0.0003
AvastStyleConvKDRS,0.0012 ± 0.0009
BBDnnKDRS,0.0011 ± 0.0008
NGramConvKDRS,0.0010 ± 0.0004
MalConvRDRS,0.0016 ± 0.0003
AvastStyleConvRDRS,0.0019 ± 0.0009
NGramConvRDRS,0.0015 ± 0.0005
BBDnnRDRS,0.0017 ± 0.0007
MalConvSDRS,0.0013 ± 0.0002
AvastStyleConvSDRS,0.0015 ± 0.0002
BBDnnSDRS,0.0015 ± 0.0002
NGramConvSDRS,0.0013 ± 0.0003
