file,f1_score@2019-Q1,accuracy@2019-Q1,TPR@2019-Q1,FPR@2019-Q1,f1_score@2019-Q2,accuracy@2019-Q2,TPR@2019-Q2,FPR@2019-Q2,f1_score@2019-Q3,accuracy@2019-Q3,TPR@2019-Q3,FPR@2019-Q3,f1_score@2020-Q1,accuracy@2020-Q1,TPR@2020-Q1,FPR@2020-Q1,f1_score@2020-Q2,accuracy@2020-Q2,TPR@2020-Q2,FPR@2020-Q2,f1_score@2020-Q3,accuracy@2020-Q3,TPR@2020-Q3,FPR@2020-Q3,f1_score@2021-Q1,accuracy@2021-Q1,TPR@2021-Q1,FPR@2021-Q1,f1_score@2021-Q2,accuracy@2021-Q2,TPR@2021-Q2,FPR@2021-Q2,f1_score@2021-Q3,accuracy@2021-Q3,TPR@2021-Q3,FPR@2021-Q3,f1_score@2022-Q1,accuracy@2022-Q1,TPR@2022-Q1,FPR@2022-Q1,f1_score@other_future,accuracy@other_future,TPR@other_future,FPR@other_future,f1_score@other_past,accuracy@other_past,TPR@other_past,FPR@other_past
AvastStyleConvFDRS,0.7805,0.6709,0.6885,0.429,0.9655,0.9398,0.9708,0.2629,0.5157,0.7047,0.8542,0.329,0.2884,0.2952,0.1795,0.2544,0.8704,0.8066,0.8767,0.3939,0.8739,0.8244,0.8478,0.2351,0.8961,0.8406,0.8978,0.3461,0.7701,0.721,0.7297,0.2946,0.7169,0.7226,0.6425,0.1807,0.2672,0.5281,0.6918,0.4951,0.8819,0.8365,0.8119,0.0887,0.931,0.8845,0.9069,0.2517
BBDnnFDRS,0.9129,0.859,0.8689,0.1967,0.9643,0.9383,0.9611,0.2112,0.5519,0.7804,0.7344,0.2092,0.3099,0.3336,0.188,0.0998,0.8806,0.8301,0.8459,0.2149,0.7715,0.7097,0.6829,0.2222,0.8779,0.829,0.8035,0.0878,0.6701,0.6365,0.5764,0.2564,0.8508,0.8349,0.861,0.1967,0.5236,0.8294,0.754,0.1599,0.864,0.8173,0.7723,0.0466,0.9132,0.8587,0.8657,0.1833
MalConvFDRS,0.2503,0.2168,0.1538,0.4262,0.3943,0.3077,0.2597,0.3785,0.4333,0.6414,0.7448,0.3819,0.2717,0.2732,0.1704,0.3268,0.8232,0.7452,0.8006,0.4132,0.7609,0.6706,0.7305,0.4815,0.8604,0.7905,0.8437,0.3833,0.6274,0.573,0.5612,0.4061,0.7149,0.714,0.656,0.2162,0.2321,0.5538,0.5422,0.4446,0.8784,0.8327,0.8038,0.0798,0.9144,0.8587,0.8796,0.2687
NGramConvFDRS,0.9446,0.9004,0.9981,0.653,0.9503,0.9113,0.9769,0.5179,0.4795,0.6232,0.9427,0.4489,0.9189,0.86,0.9965,0.6712,0.8904,0.8287,0.9393,0.4876,0.8684,0.7957,0.9398,0.57,0.9266,0.8815,0.9763,0.4277,0.8187,0.733,0.9415,0.6385,0.8562,0.8323,0.9128,0.2647,0.3155,0.5136,0.9015,0.5415,0.8863,0.8393,0.8331,0.1419,0.9564,0.9239,0.9717,0.3663
AvastStyleConvKDRS,0.8872,0.8131,0.8645,0.4781,0.9527,0.9161,0.9745,0.4661,0.5258,0.6922,0.9271,0.3608,0.3118,0.2956,0.2006,0.3346,0.869,0.8023,0.8854,0.4353,0.8773,0.8153,0.9201,0.4509,0.9406,0.9046,0.988,0.3678,0.8697,0.8197,0.9392,0.3933,0.7163,0.7185,0.65,0.199,0.277,0.4934,0.7805,0.5473,0.8763,0.8283,0.8089,0.1131,0.9508,0.9152,0.9542,0.3221
BBDnnKDRS,0.0595,0.1705,0.0309,0.0383,0.3006,0.2755,0.1794,0.0956,0.6225,0.8198,0.8073,0.1774,0.2921,0.3312,0.1735,0.0548,0.8579,0.8073,0.7852,0.1295,0.796,0.7493,0.6817,0.0789,0.8813,0.8348,0.8009,0.0548,0.6653,0.6657,0.5188,0.0725,0.69,0.7204,0.5692,0.0971,0.4979,0.8452,0.6172,0.1225,0.8792,0.836,0.7936,0.0355,0.8666,0.7931,0.7828,0.1446
MalConvKDRS,0.6515,0.5242,0.5231,0.4699,0.4322,0.3303,0.2938,0.4303,0.4466,0.6174,0.8385,0.4324,0.9078,0.852,0.9155,0.3953,0.8159,0.7359,0.79,0.4187,0.7743,0.6947,0.7299,0.3945,0.872,0.7975,0.9013,0.5413,0.809,0.7453,0.8423,0.4275,0.8912,0.8742,0.9422,0.2078,0.2665,0.5349,0.6795,0.4857,0.8599,0.8101,0.7753,0.0843,0.9214,0.8687,0.8957,0.2956
NGramConvKDRS,0.8565,0.766,0.8216,0.5492,0.9508,0.9129,0.9708,0.4661,0.4055,0.5053,0.9167,0.5875,0.3005,0.2568,0.2006,0.5245,0.733,0.636,0.6744,0.4738,0.623,0.5205,0.5523,0.5604,0.8175,0.734,0.7785,0.4112,0.642,0.5784,0.5903,0.4427,0.8898,0.869,0.968,0.2504,0.2832,0.4574,0.8619,0.6001,0.8823,0.8354,0.8206,0.1197,0.9545,0.921,0.9663,0.3544
AvastStyleConvRDRS,0.6459,0.5258,0.5087,0.377,0.6514,0.5266,0.5097,0.3625,0.528,0.7172,0.8594,0.3149,0.2992,0.3048,0.1865,0.2348,0.8462,0.788,0.7871,0.2094,0.7937,0.7329,0.7159,0.2238,0.8677,0.8033,0.8427,0.3254,0.6959,0.6551,0.6162,0.2755,0.7017,0.7161,0.6108,0.1568,0.2614,0.529,0.6701,0.491,0.8793,0.8338,0.8053,0.0798,0.9462,0.9089,0.9333,0.2394
BBDnnRDRS,0.057,0.1725,0.0294,0.0164,0.2923,0.2718,0.1734,0.0837,0.5019,0.743,0.7031,0.2479,0.2641,0.318,0.1538,0.0431,0.8167,0.7616,0.7168,0.1102,0.6755,0.6415,0.52,0.0499,0.8587,0.8077,0.7633,0.0475,0.5467,0.5544,0.4196,0.2054,0.7023,0.7302,0.582,0.0912,0.5797,0.8951,0.5818,0.0604,0.8658,0.82,0.7723,0.0355,0.8354,0.7522,0.732,0.1251
MalConvRDRS,0.7098,0.5881,0.5926,0.4372,0.4761,0.3636,0.3333,0.4382,0.4696,0.6491,0.8438,0.3948,0.924,0.8752,0.9537,0.4305,0.833,0.7573,0.817,0.4132,0.7906,0.7011,0.7863,0.5153,0.8873,0.8241,0.9044,0.438,0.7687,0.7009,0.7757,0.4323,0.8626,0.8439,0.8963,0.2193,0.2476,0.5471,0.5993,0.4603,0.8732,0.8261,0.7965,0.0843,0.9273,0.878,0.9067,0.2964
NGramConvRDRS,0.9348,0.8857,0.9648,0.5628,0.9549,0.9203,0.9732,0.4263,0.4764,0.627,0.9219,0.4395,0.3049,0.2596,0.2041,0.5245,0.758,0.666,0.7062,0.449,0.6866,0.5901,0.6259,0.5008,0.8309,0.7524,0.7943,0.3843,0.6107,0.522,0.5853,0.5908,0.8915,0.8735,0.9508,0.2197,0.2698,0.4783,0.7749,0.5638,0.8808,0.8343,0.8141,0.1042,0.9471,0.9096,0.9433,0.2953
AvastStyleConvSDRS,0.7019,0.584,0.5762,0.3716,0.3963,0.3119,0.2603,0.3506,0.5229,0.72,0.8333,0.3055,0.2981,0.3032,0.186,0.2407,0.8388,0.7794,0.7746,0.2066,0.7918,0.7366,0.6982,0.1659,0.8669,0.8016,0.8443,0.3378,0.6643,0.6274,0.5755,0.2803,0.6924,0.71,0.5972,0.1541,0.2684,0.569,0.6355,0.4404,0.8796,0.8343,0.8045,0.0754,0.9461,0.9086,0.9341,0.2462
BBDnnSDRS,0.0561,0.1721,0.0289,0.0164,0.2967,0.2744,0.1764,0.0837,0.5374,0.7507,0.7865,0.2573,0.2636,0.316,0.1538,0.0528,0.8147,0.7595,0.7139,0.1102,0.6667,0.6347,0.5092,0.0467,0.8611,0.8106,0.7668,0.0465,0.5491,0.5558,0.4223,0.2062,0.6824,0.7167,0.5569,0.0908,0.5817,0.8956,0.5835,0.0601,0.8665,0.8211,0.7723,0.031,0.8322,0.7482,0.7274,0.1259
MalConvSDRS,0.7619,0.6467,0.6649,0.4563,0.462,0.3536,0.32,0.4263,0.4711,0.6491,0.849,0.396,0.9301,0.8844,0.9668,0.4364,0.8277,0.7495,0.8121,0.4298,0.7822,0.6924,0.7698,0.504,0.8583,0.7873,0.8415,0.3895,0.6914,0.6245,0.6568,0.4331,0.8585,0.8399,0.8884,0.2186,0.2576,0.5512,0.6262,0.4594,0.8753,0.8288,0.7987,0.0798,0.9287,0.8803,0.9082,0.2894
NGramConvSDRS,0.9463,0.9045,0.9894,0.5765,0.9553,0.9208,0.9757,0.4382,0.4745,0.6242,0.9219,0.443,0.3038,0.2556,0.2041,0.544,0.7514,0.6581,0.6975,0.4545,0.6823,0.5869,0.6183,0.4928,0.8286,0.7498,0.7902,0.3822,0.6069,0.5192,0.5795,0.5884,0.8936,0.8757,0.9548,0.2197,0.2709,0.4826,0.7728,0.5586,0.881,0.8349,0.8133,0.0998,0.9478,0.9106,0.9443,0.2942
